               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.042555,             0.20928,            0.015421,             0.55368,             0.46713,             0.47652,             0.27947,            0.043362,             0.35313,            0.019707,           0.0045055,           0.0045055,           0.0045055
                 113,            0.042267,             0.20841,            0.015471,             0.55387,             0.46963,             0.47706,              0.2803,            0.043354,             0.35318,            0.019694,            0.004456,            0.004456,            0.004456
                 114,            0.042626,              0.2106,            0.015445,             0.55197,             0.47203,             0.47678,             0.27987,            0.043341,             0.35314,            0.019689,           0.0044065,           0.0044065,           0.0044065
                 115,            0.042479,             0.21147,             0.01543,             0.54826,             0.47277,             0.47647,             0.27964,            0.043326,             0.35321,             0.01969,            0.004357,            0.004357,            0.004357
                 116,            0.042392,             0.21037,            0.015361,             0.55367,             0.46963,             0.47631,             0.27954,             0.04332,             0.35327,            0.019693,           0.0043075,           0.0043075,           0.0043075
                 117,            0.042525,             0.20996,            0.015378,             0.55662,             0.46782,             0.47571,             0.27918,            0.043313,             0.35328,            0.019678,            0.004258,            0.004258,            0.004258
                 118,            0.042406,             0.21174,            0.015358,             0.55764,              0.4705,             0.47578,             0.27903,            0.043296,             0.35322,             0.01967,           0.0042085,           0.0042085,           0.0042085
                 119,            0.042412,             0.21031,            0.015241,             0.56055,             0.46696,             0.47636,             0.27985,            0.043273,             0.35322,            0.019658,            0.004159,            0.004159,            0.004159
                 120,            0.042047,             0.20652,            0.015152,             0.56048,              0.4675,             0.47625,             0.27957,            0.043262,             0.35321,            0.019649,           0.0041095,           0.0041095,           0.0041095
                 121,            0.042391,             0.21035,            0.015272,             0.56235,             0.46882,             0.47701,              0.2797,            0.043247,              0.3532,            0.019649,             0.00406,             0.00406,             0.00406
                 122,            0.041956,             0.20683,            0.015081,             0.56035,             0.46948,             0.47705,             0.28025,            0.043244,             0.35324,            0.019656,           0.0040105,           0.0040105,           0.0040105
                 123,            0.042266,             0.20868,            0.015165,             0.56028,             0.47018,             0.47688,             0.28024,            0.043235,              0.3533,            0.019664,            0.003961,            0.003961,            0.003961
                 124,            0.042046,              0.2063,             0.01507,             0.55861,             0.47129,             0.47716,             0.28076,            0.043227,             0.35337,            0.019648,           0.0039115,           0.0039115,           0.0039115
                 125,            0.042086,             0.20867,            0.015086,             0.55915,             0.47071,             0.47723,             0.28067,            0.043222,             0.35347,            0.019649,            0.003862,            0.003862,            0.003862
                 126,            0.042026,             0.20649,            0.015111,             0.55501,             0.47389,              0.4776,             0.28105,            0.043218,             0.35356,            0.019647,           0.0038125,           0.0038125,           0.0038125
                 127,            0.041849,             0.20909,            0.014978,             0.55485,             0.47399,              0.4783,             0.28153,            0.043206,             0.35359,            0.019652,            0.003763,            0.003763,            0.003763
                 128,            0.042089,             0.20888,             0.01503,             0.55493,             0.47303,             0.47827,             0.28135,            0.043198,             0.35366,             0.01966,           0.0037135,           0.0037135,           0.0037135
                 129,            0.041851,             0.20765,            0.014918,             0.56374,             0.46722,              0.4784,             0.28233,            0.043185,             0.35375,            0.019666,            0.003664,            0.003664,            0.003664
                 130,            0.042024,             0.20678,            0.015089,             0.55191,             0.47445,             0.47897,             0.28253,            0.043176,             0.35379,            0.019655,           0.0036145,           0.0036145,           0.0036145
                 131,            0.041726,             0.20585,            0.014933,             0.55889,              0.4721,             0.47838,             0.28269,            0.043169,             0.35379,            0.019651,            0.003565,            0.003565,            0.003565
                 132,            0.041761,             0.20478,            0.014827,             0.56029,             0.47022,             0.47879,             0.28292,            0.043159,             0.35377,            0.019644,           0.0035155,           0.0035155,           0.0035155
                 133,            0.041848,             0.20545,             0.01471,             0.55908,             0.47031,             0.47927,             0.28301,            0.043154,             0.35379,            0.019641,            0.003466,            0.003466,            0.003466
                 134,            0.041695,             0.20439,            0.014808,             0.55857,             0.47138,             0.47888,             0.28269,            0.043151,             0.35382,            0.019646,           0.0034165,           0.0034165,           0.0034165
                 135,            0.041623,             0.20583,            0.014668,             0.56267,             0.46994,             0.47902,             0.28275,            0.043152,             0.35385,            0.019647,            0.003367,            0.003367,            0.003367
                 136,            0.041612,             0.20162,            0.014671,             0.56665,             0.46758,             0.47948,             0.28332,            0.043149,              0.3539,            0.019645,           0.0033175,           0.0033175,           0.0033175
                 137,            0.041746,             0.20634,            0.014634,             0.56317,             0.46987,             0.47946,             0.28342,            0.043145,             0.35395,            0.019643,            0.003268,            0.003268,            0.003268
                 138,            0.041635,             0.20559,            0.014659,              0.5636,             0.46848,             0.47914,             0.28301,            0.043143,             0.35401,            0.019642,           0.0032185,           0.0032185,           0.0032185
                 139,            0.041735,             0.20402,            0.014556,             0.56066,             0.47024,             0.47938,             0.28303,            0.043139,             0.35401,            0.019637,            0.003169,            0.003169,            0.003169
                 140,            0.041427,             0.20396,            0.014563,             0.56543,             0.46824,             0.47958,             0.28329,            0.043139,             0.35402,            0.019636,           0.0031195,           0.0031195,           0.0031195
                 141,            0.041549,             0.20579,             0.01463,             0.56611,             0.46814,             0.47958,             0.28307,            0.043133,             0.35396,            0.019637,             0.00307,             0.00307,             0.00307
                 142,            0.041535,              0.2052,            0.014523,             0.56467,             0.47088,             0.47978,             0.28337,            0.043129,             0.35393,            0.019635,           0.0030205,           0.0030205,           0.0030205
                 143,            0.041333,             0.20265,            0.014412,             0.56317,             0.47267,             0.47958,             0.28306,            0.043127,              0.3539,            0.019637,            0.002971,            0.002971,            0.002971
                 144,            0.041338,             0.20295,            0.014441,             0.56189,             0.47164,             0.47967,              0.2832,            0.043126,             0.35393,             0.01964,           0.0029215,           0.0029215,           0.0029215
                 145,            0.041334,             0.20264,            0.014346,             0.56341,             0.47081,             0.47987,              0.2831,            0.043125,             0.35394,            0.019642,            0.002872,            0.002872,            0.002872
                 146,            0.041338,             0.20393,            0.014372,             0.56051,             0.47259,             0.47972,             0.28337,            0.043125,             0.35393,            0.019646,           0.0028225,           0.0028225,           0.0028225
                 147,            0.041439,             0.20306,             0.01447,             0.56267,             0.47144,             0.47987,             0.28345,            0.043124,             0.35394,            0.019647,            0.002773,            0.002773,            0.002773
                 148,            0.041117,             0.20394,             0.01411,             0.56384,             0.47083,             0.48025,             0.28357,            0.043123,             0.35401,            0.019651,           0.0027235,           0.0027235,           0.0027235
                 149,            0.041143,             0.20649,            0.014166,             0.56381,             0.47043,             0.48036,             0.28375,            0.043122,             0.35406,            0.019653,            0.002674,            0.002674,            0.002674
                 150,            0.041177,              0.2025,            0.014227,             0.56556,             0.46926,             0.48037,              0.2836,            0.043117,             0.35408,            0.019655,           0.0026245,           0.0026245,           0.0026245
                 151,            0.041032,             0.20164,            0.014146,             0.56553,             0.46972,             0.48075,             0.28396,            0.043116,             0.35409,            0.019652,            0.002575,            0.002575,            0.002575
                 152,            0.041151,             0.20188,            0.014182,             0.56751,              0.4695,             0.48026,             0.28381,            0.043115,             0.35414,            0.019653,           0.0025255,           0.0025255,           0.0025255
                 153,            0.040995,              0.2021,            0.014051,             0.56684,             0.46913,             0.48036,             0.28401,            0.043113,             0.35415,            0.019654,            0.002476,            0.002476,            0.002476
                 154,            0.041179,              0.2023,            0.014188,             0.56545,             0.47016,             0.48075,             0.28403,            0.043112,             0.35422,            0.019655,           0.0024265,           0.0024265,           0.0024265
                 155,            0.041011,             0.19918,            0.014213,             0.56707,             0.47041,             0.48086,              0.2838,            0.043111,             0.35423,            0.019657,            0.002377,            0.002377,            0.002377
